"task","has_task_description","has_judger_prompt","input_files","audit_files","gold_files","source_files"
"anylogic_001","True","True","2","1","1","1"
"anylogic_002","True","True","2","1","1","1"
"ardour_effects_014","True","True","2","1","1","1"
"ardour_mastering_015","True","True","4","1","1","1"
"ardour_mixing_012","True","True","7","1","1","1"
"autopsy_001","True","True","1","1","1","1"
"autopsy_002","True","True","1","1","1","1"
"autopsy_003","True","True","1","1","1","1"
"autopsy_004","True","True","1","1","1","1"
"autopsy_005","True","True","1","1","1","1"
"blender_005","True","True","4","1","1","1"
"cellprofiler_batch_004","True","True","1","1","1","1"
"cellprofiler_morphology_002","True","True","2","1","1","1"
"cellprofiler_pipeline_003","True","True","1","1","1","1"
"cellprofiler_qc_005","True","True","17","1","1","1"
"cellprofiler_segment_001","True","True","1","1","1","1"
"davinci_002","True","True","4","1","1","1"
"davinci_003","True","True","5","1","1","1"
"davinci_005","True","True","3","1","1","1"
"davinci_006","True","True","4","1","1","1"
"game_repro_005","True","True","9","1","1","1"
"game_repro_006","True","True","8","1","1","1"
"game_repro_008","True","True","7","1","1","1"
"ghidra_001","True","True","1","1","1","1"
"ghidra_006","True","True","3","1","1","1"
"GOD-001","True","True","3","1","1","1"
"GOD-003","True","True","7","1","1","1"
"imagej_cell_count_001","True","True","3","1","1","1"
"projectlibre_001","True","True","1","1","1","1"
"PV-GUI-001","True","True","3","1","1","1"
"PV-GUI-002","True","True","3","1","1","1"
"PV-GUI-003","True","True","3","1","1","1"
"PV-GUI-005","True","True","3","1","1","1"
"qgis_flood_001","True","True","3","1","1","1"
"qgis_hydro_001","True","True","3","1","1","1"
"qgis_landuse_001","True","True","3","1","1","1"
"qgis_suitability_001","True","True","3","1","1","1"
"qgis_urban_001","True","True","3","1","1","1"
"QGIS-002","True","True","3","1","1","1"
"QGIS-003","True","True","3","1","1","1"
"QGIS-008","True","True","23","1","1","1"
"slicer_dicom_003","True","True","3","1","1","1"
"spss_cluster_007","True","True","1","1","1","1"
"spss_factor_006","True","True","1","1","1","1"
"tableau_calcfield_012","True","True","3","1","1","1"
"tableau_dashboard_011","True","True","3","1","1","1"
"tableau_lod_015","True","True","3","1","1","1"
"tableau_map_013","True","True","3","1","1","1"
"tableau_parameter_014","True","True","3","1","1","1"
"wireshark_002","True","True","6","1","1","1"
